cep_inicial;cep_final
2900000;2937969
21900000;21999999
27100000;27150999
6650000;6699999
27998000;27998999
2170000;2199999
76864000;76865999
45220000;45224999
12530000;12569969
95885000;95889999
86150000;86159999
85630000;85634999
88270000;88294999
15460000;15469999
35350000;35351999
98770000;98799999
19750000;19769969
88950000;88954999
14240000;14249969
79400000;79400972
88390000;88394999
49670000;49679999
15670000;15679999
27196000;27196999
76335000;76373999
77495000;77499999
77470000;77474999
77903000;77904999
11330081;11330089
57930000;57934999
77380000;77389999
45970000;45971999
64560000;64562999
28930000;28939999
63610000;63619999
62900000;62909999
62748000;62749999
62685000;62689999
4813970;4813999
36132000;36134999
95758000;95759999
17980000;17989999
6397000;6399999
13580000;13589999
11325161;11325229
87390000;87394999
89110000;89114999
86400000;86409999
13880000;13889999
5398000;5399999
40800376;40800989
57530000;57530999
11355101;11355119
11330187;11330270
11462111;11462129
11442196;11442229
84435000;84449999
20700000;20799999
58155000;58157999
85935000;85939999
37510000;37510999
64465000;64467999
64278000;64279999
89249000;89249999
59070000;59079999
77755000;77759999
79800000;79849999
11570901;11572999
35130000;35134999
89128000;89129999
57210000;57210999
14765000;14769999
29160000;29184999
47115000;47119999
79950000;79950999
58990000;58992999
38760000;38769999
88430000;88439999
15840000;15842999
80000001;82999999
95740000;95744999
73760000;73800000
65990000;65994999
55790000;55799999
11335001;11335002
58855000;58856999
64798000;64799999
69260000;69264999
87130000;87139999
45560000;45569999
57615000;57619999
96535000;96539999
92500000;92849999
95937000;95939999
57400000;57409999
89247000;89247999
64925000;64929999
99910000;99919999
87560000;87564999
95726000;95726999
37997000;37999999
55555000;55559999
11442145;11442150
77325000;77327999
59480000;59489999
59670000;59674999
37540000;37541999
59227000;59229999
14450000;14459999
11340000;11344999
54800000;54999999
59513000;59514999
87185000;87189999
97300000;97334999
85896000;85897999
99270000;99289999
96920000;96924999
85575000;85579999
98385000;98389999
36847000;36849999
11350330;11350450
11440140;11440190
44695000;44697999
64645000;64649999
26650000;26699999
