cep_inicial;cep_final;macrorregiao;estado;mesoregiao;microregiao;cidade_inicio;cidade_final
1600000;1999999;SUDESTE;SÃO PAULO;METROPOLITANA DE SÃO PAULO;SÃO PAULO;SÃO PAULO;SÃO PAULO
3976970;3976999;SUDESTE;SÃO PAULO;METROPOLITANA DE SÃO PAULO;SÃO PAULO;SÃO PAULO;SÃO PAULO
3999970;3999999;SUDESTE;SÃO PAULO;METROPOLITANA DE SÃO PAULO;SÃO PAULO;SÃO PAULO;SÃO PAULO
4339970;4339999;SUDESTE;SÃO PAULO;METROPOLITANA DE SÃO PAULO;SÃO PAULO;SÃO PAULO;SÃO PAULO
4387970;4387999;SUDESTE;SÃO PAULO;METROPOLITANA DE SÃO PAULO;SÃO PAULO;SÃO PAULO;SÃO PAULO
4499970;4499999;SUDESTE;SÃO PAULO;METROPOLITANA DE SÃO PAULO;SÃO PAULO;SÃO PAULO;SÃO PAULO
4999970;4999999;SUDESTE;SÃO PAULO;METROPOLITANA DE SÃO PAULO;SÃO PAULO;SÃO PAULO;SÃO PAULO
6099970;6099999;SUDESTE;SÃO PAULO;METROPOLITANA DE SÃO PAULO;OSASCO;OSASCO;OSASCO
7399970;7399999;SUDESTE;SÃO PAULO;METROPOLITANA DE SÃO PAULO;GUARULHOS;GUARULHOS;GUARULHOS
7599899;7599999;SUDESTE;SÃO PAULO;METROPOLITANA DE SÃO PAULO;GUARULHOS;SANTA ISABEL;SANTA ISABEL
8222970;8222999;SUDESTE;SÃO PAULO;;;;
8270970;8270999;SUDESTE;SÃO PAULO;;;;
8274970;8274999;SUDESTE;SÃO PAULO;;;;
8699899;8699999;SUDESTE;SÃO PAULO;METROPOLITANA DE SÃO PAULO;MOGI DAS CRUZES;SUZANO;SUZANO
9999970;9999999;SUDESTE;SÃO PAULO;METROPOLITANA DE SÃO PAULO;SÃO PAULO;DIADEMA;DIADEMA
11299970;11299999;SUDESTE;SÃO PAULO;METROPOLITANA DE SÃO PAULO;SANTOS;BERTIOGA;BERTIOGA
